"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","response_type","key_press","avg_frame_time","center_x","center_y","block","event","resp","target"
"6847","Set You Browser to Full Screen Please.<br><br>","0","html-button-response","0","6850","0.0-0.0","5","4","","","","","","","","",""
"5833","You will see two horizontal lines, an upper line and a lower line.<br> Your job is to adjust the lower line so it is the <strong>same length</strong> as the upper line","0","html-button-response","1","12684","0.0-1.0","5","4","","","","","","","","",""
"7332","Use the left arrow to shorten the bottom line <br> Use the right arrow to lengthen it.","0","html-button-response","2","20016","0.0-2.0","5","4","","","","","","","","",""
"2668","When the line is best adjusted, use the space bar to continue!","0","html-button-response","3","22685","0.0-3.0","5","4","","","","","","","","",""
"2879.9999999999964","We Are Going To Run 20 Trials Now","0","html-button-response","4","25566","0.0-4.0","5","4","","","","","","","","",""
"14311.999999999996",""," ","psychophysics","5","39882","0.0-5.0-0.0","5","4","key"," ","16.666666666666668","896","200","no_feedback","trial","43","40"
"35139",""," ","psychophysics","6","75027","0.0-5.0-0.1","5","4","key"," ","16.666824869482678","896","200","no_feedback","trial","47","46"
"6508",""," ","psychophysics","7","81547","0.0-5.0-0.2","5","4","key"," ","16.65984654731458","896","200","no_feedback","trial","45","44"
"10361",""," ","psychophysics","8","91909","0.0-5.0-0.3","5","4","key"," ","16.666129032258066","896","200","no_feedback","trial","32","28"
"18171",""," ","psychophysics","9","110083","0.0-5.0-0.4","5","4","key"," ","16.66422018348624","896","200","no_feedback","trial","59","57"
"13863",""," ","psychophysics","10","123948","0.0-5.0-0.5","5","4","key"," ","16.666666666666668","896","200","no_feedback","trial","26","27"
"8865",""," ","psychophysics","11","132815","0.0-5.0-0.6","5","4","key"," ","16.66478342749529","896","200","no_feedback","trial","27","27"
"8345",""," ","psychophysics","12","141165","0.0-5.0-0.7","5","4","key"," ","16.668","896","200","no_feedback","trial","32","33"
"7331.999999999971",""," ","psychophysics","13","148501","0.0-5.0-0.8","5","4","key"," ","16.66514806378132","896","200","no_feedback","trial","47","54"
"5720",""," ","psychophysics","14","154223","0.0-5.0-0.9","5","4","key"," ","16.666666666666668","896","200","no_feedback","trial","24","23"
"5694",""," ","psychophysics","15","159921","0.0-5.0-0.10","5","4","key"," ","16.668621700879765","896","200","no_feedback","trial","44","42"
"5631",""," ","psychophysics","16","165555","0.0-5.0-0.11","5","4","key"," ","16.66765578635015","896","200","no_feedback","trial","37","36"
"12501",""," ","psychophysics","17","178060","0.0-5.0-0.12","5","4","key"," ","16.66622162883845","896","200","no_feedback","trial","55","61"
"5852",""," ","psychophysics","18","183922","0.0-5.0-0.13","5","4","key"," ","16.666666666666668","896","200","no_feedback","trial","32","29"
"6274",""," ","psychophysics","19","190199","0.0-5.0-0.14","5","4","key"," ","16.664893617021278","896","200","no_feedback","trial","43","42"
"8598.00000000003",""," ","psychophysics","20","198801","0.0-5.0-0.15","5","4","key"," ","16.667961165048542","896","200","no_feedback","trial","45","50"
"8180",""," ","psychophysics","21","206983","0.0-5.0-0.16","5","4","key"," ","16.66734693877551","896","200","no_feedback","trial","47","41"
"7017",""," ","psychophysics","22","214005","0.0-5.0-0.17","5","4","key"," ","16.664285714285715","896","200","no_feedback","trial","28","26"
"5834",""," ","psychophysics","23","219843","0.0-5.0-0.18","5","4","key"," ","16.667621776504298","896","200","no_feedback","trial","29","33"
"12827",""," ","psychophysics","24","232673","0.0-5.0-0.19","5","4","key"," ","16.66710013003901","896","200","no_feedback","trial","61","65"
"6202","Great.  We Are Going To Run A Final 20 Trials With Feedback.<br>Use the Feedback To Improve Your Adjustments.","0","html-button-response","25","238876","0.0-6.0","5","4","","","","","","","","",""
"19713.99999999997",""," ","psychophysics","26","258591","0.0-7.0-0.0","5","4","key"," ","16.666666666666668","896","200","feedback","trial","45","38"
"10138",""," ","psychophysics","27","268734","0.0-7.0-1.0","5","4","key"," ","16.664473684210527","896","250","feedback","feedback","",""
"12635",""," ","psychophysics","28","281373","0.0-7.0-0.1","5","4","key"," ","16.665785997357993","896","200","feedback","trial","47","47"
"3318",""," ","psychophysics","29","284693","0.0-7.0-1.1","5","4","key"," ","16.666666666666668","896","250","feedback","feedback","",""
"12505",""," ","psychophysics","30","297200","0.0-7.0-0.2","5","4","key"," ","16.666666666666668","896","200","feedback","trial","51","55"
"2823.999999999942",""," ","psychophysics","31","300028","0.0-7.0-1.2","5","4","key"," ","16.666666666666668","896","250","feedback","feedback","",""
"14682",""," ","psychophysics","32","314714","0.0-7.0-0.3","5","4","key"," ","16.663636363636364","896","200","feedback","trial","57","56"
"1858",""," ","psychophysics","33","316595","0.0-7.0-1.3","5","4","key"," ","16.642857142857142","896","250","feedback","feedback","",""
"10880",""," ","psychophysics","34","327484","0.0-7.0-0.4","5","4","key"," ","16.664624808575805","896","200","feedback","trial","43","40"
"2109",""," ","psychophysics","35","329596","0.0-7.0-1.4","5","4","key"," ","16.672","896","250","feedback","feedback","",""
"9845",""," ","psychophysics","36","339452","0.0-7.0-0.5","5","4","key"," ","16.663282571912013","896","200","feedback","trial","45","45"
"2080.999999999942",""," ","psychophysics","37","341535","0.0-7.0-1.5","5","4","key"," ","16.669354838709676","896","250","feedback","feedback","",""
"14248",""," ","psychophysics","38","355784","0.0-7.0-0.6","5","4","key"," ","16.666276346604217","896","200","feedback","trial","57","54"
"1700",""," ","psychophysics","39","357488","0.0-7.0-1.6","5","4","key"," ","16.673267326732674","896","250","feedback","feedback","",""
"8412",""," ","psychophysics","40","365903","0.0-7.0-0.7","5","4","key"," ","16.666666666666668","896","200","feedback","trial","50","49"
"1782.0000000000582",""," ","psychophysics","41","367687","0.0-7.0-1.7","5","4","key"," ","16.669811320754718","896","250","feedback","feedback","",""
"3928",""," ","psychophysics","42","371618","0.0-7.0-0.8","5","4","key"," ","16.663829787234043","896","200","feedback","trial","20","20"
"1383",""," ","psychophysics","43","373003","0.0-7.0-1.8","5","4","key"," ","16.658536585365855","896","250","feedback","feedback","",""
"21481",""," ","psychophysics","44","394486","0.0-7.0-0.9","5","4","key"," ","16.66692546583851","896","200","feedback","trial","55","56"
"2296.999999999942",""," ","psychophysics","45","396787","0.0-7.0-1.9","5","4","key"," ","16.664233576642335","896","250","feedback","feedback","",""
"3733",""," ","psychophysics","46","400522","0.0-7.0-0.10","5","4","key"," ","16.663677130044842","896","200","feedback","trial","22","24"
