"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","start","version","jitterX","jitterY","parA"
"true","fullscreen","0","2853","0.0-0.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","","","","","","","","","","","","","",""
"true","preload","1","2855","0.0-1.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","false","[]","[]","[]","","","","","","","","","","","","","",""
"","psychophysics","2","7186","0.0-2.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","4324","key"," "," ","33.332","499.9999891627921","249.99999458139604","inst","","","","","",""
"","psychophysics","3","17839","0.0-3.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","10650","key"," "," ","33.33350156739812","499.9999891627921","249.99999458139604","sample1","","","","","",""
"","psychophysics","4","38087","0.0-4.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","20246","key"," "," ","33.333099009900984","499.9999891627921","249.99999458139604","sample2","102","","","","",""
"","psychophysics","5","43663","0.0-5.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","5571","key"," "," ","33.33399401197606","499.9999891627921","249.99999458139604","sample3","100","","","","",""
"","psychophysics","6","50413","0.0-6.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","6747","key"," "," ","33.33199999999998","499.9999891627921","249.99999458139604","sample4","98","","","","",""
"","psychophysics","7","55984","0.0-7.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","5568","key"," "," ","33.33200000000001","499.9999891627921","249.99999458139604","sample5","","","","","",""
"","psychophysics","8","64195","0.0-8.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","8209","key"," "," ","33.334711382113824","499.9999891627921","249.99999458139604","sample7","500","","","","",""
"","psychophysics","9","69182","0.0-9.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","4985","key"," "," ","33.331999999999994","499.9999891627921","249.99999458139604","inst","","","","","",""
"","psychophysics","10","75238","0.0-10.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","6052","key"," "," ","33.33383977900546","499.9999891627921","249.99999458139604","inst","","","","","",""
"","psychophysics","11","80184","0.0-11.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","4944","key"," "," ","33.33199999999993","499.9999891627921","249.99999458139604","inst","","","","","",""
"","psychophysics","12","81261","0.0-12.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","1074","key"," "," ","33.33199999999988","499.9999891627921","249.99999458139604","inst","","","","","",""
"","psychophysics","13","82424","0.0-13.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","1158","key"," "," ","33.340852941176685","499.9999891627921","249.99999458139604","inst","","","","","",""
"","psychophysics","14","88092","0.0-14.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","5665","key"," "," ","33.33200000000004","499.9999891627921","249.99999458139604","instEB0","41","40","","0","0","40"
"","psychophysics","15","100487","0.0-15.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","12393","key"," "," ","33.3329027027027","499.9999891627921","249.99999458139604","instEB1","68","30","2","0","0","70"
"","psychophysics","16","113230","0.0-16.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","12739","key"," "," ","33.3337434554974","499.9999891627921","249.99999458139604","instEB2","40","60","2","0","0","40"
"","psychophysics","17","123543","0.0-17.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","10312","key"," "," ","33.33308116883119","499.9999891627921","249.99999458139604","instEB3","65","45","2","0","0","65"
"","psychophysics","18","133241","0.0-18.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","9694","key"," "," ","33.33200000000004","499.9999891627921","249.99999458139604","instEB4","42","40","2","0","0","40"
"","psychophysics","19","135423","0.0-19.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2180","key"," "," ","33.3319999999998","499.9999891627921","249.99999458139604","inst","","","","","",""
"","psychophysics","20","142140","0.0-20.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","6715","key"," "," ","33.332000000000114","499.9999891627921","249.99999458139604","eb","31","41","2","0","0","27"
"","psychophysics","21","150923","0.0-21.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","8780","key"," "," ","33.33453612167303","499.9999891627921","249.99999458139604","eb","45","29","2","0","0","44"
"","psychophysics","22","156829","0.0-22.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","5904","key"," "," ","33.332","499.9999891627921","249.99999458139604","eb","36","40","2","0","0","31"
"","psychophysics","23","160852","0.0-23.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","4021","key"," "," ","33.332000000000015","499.9999891627921","249.99999458139604","eb","31","34","2","0","0","27"
"","psychophysics","24","167987","0.0-24.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","7131","key"," "," ","33.33512676056344","499.9999891627921","249.99999458139604","eb","53","33","2","0","0","48"
"","psychophysics","25","173213","0.0-25.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","5224","key"," "," ","33.331999999999915","499.9999891627921","249.99999458139604","eb","44","32","2","0","0","40"
"","psychophysics","26","181596","0.0-26.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","8381","key"," "," ","33.33200000000009","499.9999891627921","249.99999458139604","eb","40","51","2","0","0","36"
"","psychophysics","27","186406","0.0-27.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","4804","key"," "," ","33.33665034965037","499.9999891627921","249.99999458139604","eb","57","36","2","0","0","54"
"","psychophysics","28","190217","0.0-28.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3804","key"," "," ","33.33200000000003","499.9999891627921","249.99999458139604","eb","35","27","2","0","0","36"
"","psychophysics","29","193666","0.0-29.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3445","key"," "," ","33.334922330097115","499.9999891627921","249.99999458139604","eb","30","42","2","0","0","28"
"","psychophysics","30","196110","0.0-30.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2437","key"," "," ","33.332000000000136","499.9999891627921","249.99999458139604","eb","35","41","2","0","0","31"
"","psychophysics","31","198254","0.0-31.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2142","key"," "," ","33.33199999999996","499.9999891627921","249.99999458139604","eb","55","52","2","0","0","48"
"","psychophysics","32","202324","0.0-32.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","4065","key"," "," ","33.33199999999993","499.9999891627921","249.99999458139604","eb","43","31","2","0","0","36"
