"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","response_type","key_press","avg_frame_time","center_x","center_y","phase","guide","targ","resp"
"17291.799999952316","Set You Browser to Full Screen Please.<br><br>","0","html-button-response","0","17297","0.0-0.0","10","14","","","","","","","","",""
"1354.3999999761581",""," ","psychophysics","1","18669","0.0-1.0","10","14","key"," ","16.674","500","250","","","",""
"2932.899999976158",""," ","psychophysics","2","21604","0.0-2.0","10","14","key"," ","16.68774857142857","500","250","","","",""
"1416.8999999761581",""," ","psychophysics","3","23024","0.0-3.0","10","14","key"," ","16.673999999999978","500","250","","","",""
"3513.399999976158",""," ","psychophysics","4","26539","0.0-4.0","10","14","key"," ","16.674000000000003","500","250","","","",""
"3639",""," ","psychophysics","5","30181","0.0-5.0","10","14","key"," ","16.674000000000007","500","250","","","",""
"3131.1999999284744",""," ","psychophysics","6","33316","0.0-6.0","10","14","key"," ","16.676139037433167","500","250","","","",""
"2726.5",""," ","psychophysics","7","36044","0.0-7.0","10","14","key"," ","16.674000000000007","500","250","","","",""
"2990.399999976158",""," ","psychophysics","8","39037","0.0-8.0","10","14","key"," ","16.67400000000001","500","250","","","",""
"12561.200000047684",""," ","psychophysics","9","51602","0.0-9.0","10","14","key"," ","16.6748406374502","500","250","1","0","40","48"
"8001.800000071526",""," ","psychophysics","10","59607","0.0-10.0","10","14","key"," ","16.67400000000001","500","250","1","5","53","50"
"5849.699999928474",""," ","psychophysics","11","65459","0.0-11.0","10","14","key"," ","16.674977142857138","500","250","1","0","28","41"
"6944.600000023842",""," ","psychophysics","12","72406","0.0-12.0","10","14","key"," ","16.67503614457831","500","250","1","5","58","57"
"10501.5",""," ","psychophysics","13","82911","0.0-13.0","10","14","key"," ","16.674405405405405","500","250","1","0","48","65"
"5425",""," ","psychophysics","14","88338","0.0-14.0","10","14","key"," ","16.67400000000001","500","250","1","5","42","39"
"5965.799999952316",""," ","psychophysics","15","94307","0.0-15.0","10","14","key"," ","16.675134453781517","500","250","1","0","43","51"
"7050.600000023842",""," ","psychophysics","16","101361","0.0-16.0","10","14","key"," ","16.674","500","250","1","5","51","48"
"7684.399999976158",""," ","psychophysics","17","109048","0.0-17.0","10","14","key"," ","16.67482826086957","500","250","1","0","53","66"
"7752.899999976158",""," ","psychophysics","18","116803","0.0-18.0","10","14","key"," ","16.67471982758619","500","250","1","5","56","55"
"5220.600000023842",""," ","psychophysics","19","122027","0.0-19.0","10","14","key"," ","16.675128205128203","500","250","1","0","37","54"
"4488.200000047684",""," ","psychophysics","20","126518","0.0-20.0","10","14","key"," ","16.673999999999992","500","250","1","5","36","38"
"8254",""," ","psychophysics","21","134779","0.0-21.0","10","14","key"," ","16.674468686868675","500","250","1","0","51","67"
"9283.799999952316",""," ","psychophysics","22","144065","0.0-22.0","10","14","key"," ","16.674814748201467","500","250","1","5","35","38"
"6945.399999976158",""," ","psychophysics","23","151014","0.0-23.0","10","14","key"," ","16.67399999999998","500","250","1","0","52","71"
"4670.399999976158",""," ","psychophysics","24","155690","0.0-24.0","10","14","key"," ","16.67489285714286","500","250","1","5","31","33"
"7659.900000095367",""," ","psychophysics","25","163353","0.0-25.0","10","14","key"," ","16.674960698689983","500","250","1","0","38","51"
"6674.799999952316",""," ","psychophysics","26","170034","0.0-26.0","10","14","key"," ","16.673999999999943","500","250","1","5","41","44"
"34037.10000002384",""," ","psychophysics","27","204074","0.0-27.0","10","14","key"," ","16.674624509803934","500","250","1","0","46","59"
"7369.899999976158",""," ","psychophysics","28","211450","0.0-28.0","10","14","key"," ","16.67399999999999","500","250","1","5","41","46"
"2161.899999976158",""," ","psychophysics","29","213615","0.0-29.0","10","14","key"," ","16.677395348837138","500","250","","","",""
"4871.799999952316",""," ","psychophysics","30","218491","0.0-30.0","10","14","key"," ","16.673999999999968","500","250","","","",""
"1230.3999999761581",""," ","psychophysics","31","219723","0.0-31.0","10","14","key"," ","16.674000000000266","500","250","","","",""
"6284.399999976158",""," ","psychophysics","32","226010","0.0-32.0","10","14","key"," ","16.67499999999997","500","250","2","0","33","45"
"1915.7999999523163",""," ","psychophysics","33","227928","0.0-33.0","10","14","key"," ","16.67400000000009","500","250","","","",""
